,date,state, election anxiety, election anxious, election stressed,election stress
0,10/20/16,AK,0.0,0.0,0.0,0.0
1,10/21/16,AK,0.0,0.0,0.0,0.0
2,10/20/16,AL,0.0,0.0,0.0,0.0
3,10/21/16,AL,0.0,0.0,0.0,0.0
4,10/20/16,AR,0.0,0.0,0.0,0.0
5,10/21/16,AR,0.0,0.0,0.0,0.0
0,2016-10-20,AK,0.0,0.0,0.0,0.0
1,2016-10-21,AK,0.0,0.0,0.0,0.0
0,2016-10-20,AL,0.0,0.0,0.0,0.0
1,2016-10-21,AL,0.0,0.0,0.0,0.0
0,2016-10-20,AR,0.0,0.0,0.0,0.0
1,2016-10-21,AR,0.0,0.0,0.0,0.0
0,2016-10-20,AZ,0.0,0.0,0.0,0.0
1,2016-10-21,AZ,0.0,0.0,0.0,0.0
0,2016-10-20,CA,23.950529230537928,0.0,0.0,23.835998681241502
1,2016-10-21,CA,0.0,0.0,0.0,0.0
0,2016-10-20,CO,0.0,0.0,0.0,0.0
1,2016-10-21,CO,0.0,0.0,0.0,0.0
0,2016-10-20,CT,0.0,0.0,0.0,0.0
1,2016-10-21,CT,0.0,0.0,0.0,0.0
0,2016-10-20,DC,0.0,0.0,0.0,0.0
1,2016-10-21,DC,0.0,0.0,0.0,0.0
0,2016-10-20,DE,0.0,0.0,0.0,0.0
1,2016-10-21,DE,0.0,0.0,0.0,0.0
0,2016-10-20,FL,0.0,0.0,0.0,0.0
1,2016-10-21,FL,68.0078263279029,0.0,0.0,0.0
0,2016-10-20,GA,0.0,0.0,0.0,100.26455558348968
1,2016-10-21,GA,0.0,0.0,0.0,0.0
0,2016-10-20,HI,0.0,0.0,0.0,0.0
1,2016-10-21,HI,0.0,0.0,0.0,0.0
0,2016-10-20,IA,435.645655687381,0.0,0.0,0.0
1,2016-10-21,IA,0.0,0.0,0.0,0.0
0,2016-10-20,ID,0.0,0.0,0.0,0.0
1,2016-10-21,ID,0.0,0.0,0.0,0.0
0,2016-10-20,IL,0.0,0.0,0.0,0.0
1,2016-10-21,IL,76.68787547573547,0.0,0.0,0.0
0,2016-10-20,IN,0.0,0.0,0.0,276.3717184177382
1,2016-10-21,IN,0.0,0.0,0.0,0.0
0,2016-10-20,KS,0.0,0.0,0.0,0.0
1,2016-10-21,KS,0.0,0.0,0.0,0.0
0,2016-10-20,KY,0.0,0.0,0.0,0.0
1,2016-10-21,KY,0.0,0.0,0.0,0.0
0,2016-10-20,LA,443.293841417306,0.0,0.0,440.0750079475311
1,2016-10-21,LA,0.0,0.0,0.0,0.0
0,2016-10-20,MA,220.8712596865176,0.0,0.0,146.72184926356792
1,2016-10-21,MA,0.0,0.0,0.0,0.0
0,2016-10-20,MD,228.48394023037991,0.0,0.0,0.0
1,2016-10-21,MD,0.0,0.0,0.0,0.0
0,2016-10-20,ME,0.0,0.0,0.0,0.0
1,2016-10-21,ME,0.0,0.0,0.0,0.0
0,2016-10-20,MI,0.0,0.0,0.0,0.0
1,2016-10-21,MI,0.0,0.0,0.0,127.06774734895876
0,2016-10-20,MN,0.0,0.0,0.0,0.0
1,2016-10-21,MN,0.0,0.0,0.0,0.0
0,2016-10-20,MO,0.0,0.0,0.0,0.0
1,2016-10-21,MO,0.0,0.0,0.0,0.0
0,2016-10-20,MS,0.0,0.0,0.0,0.0
1,2016-10-21,MS,0.0,0.0,0.0,0.0
0,2016-10-20,MT,0.0,0.0,0.0,0.0
1,2016-10-21,MT,0.0,0.0,0.0,0.0
0,2016-10-20,NC,119.89398112759348,0.0,0.0,119.75381126872252
1,2016-10-21,NC,0.0,0.0,0.0,0.0
0,2016-10-20,ND,0.0,0.0,0.0,0.0
1,2016-10-21,ND,0.0,0.0,0.0,0.0
0,2016-10-20,NE,0.0,0.0,0.0,0.0
